Available,Price,Address,Link
Now,$490,"3/104 Sylvan Ave, Northcote, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/northcote/listing/3809368287?rsqid=9f86cc92a21743c680f5f16f23446705-001
Now,$545,"A2/71 Spencer Road, Albany, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/albany/listing/3810922538?rsqid=9f86cc92a21743c680f5f16f23446705-001
Now,$550,"2/42 Richards Ave, Forrest Hill, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/forrest-hill/listing/3805174096?rsqid=9f86cc92a21743c680f5f16f23446705-001
Now,$540,"1/42 Richards Ave, Forrest Hill, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/forrest-hill/listing/3805169138?rsqid=9f86cc92a21743c680f5f16f23446705-001
"Sat, 19 Nov",$530,"6A Glenlea Place, Flat Bush, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/flat-bush/listing/3855189332?rsqid=160acf888e374a50a673a238f8bef3cd-001
"Sat, 3 Dec",$540,"36 Hangahai , Flat Bush, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/flat-bush/listing/3860020211?rsqid=160acf888e374a50a673a238f8bef3cd-001
"Wed, 23 Nov",$550," Horsefields drive, flatbush , Flat Bush, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/flat-bush/listing/3848881974?rsqid=160acf888e374a50a673a238f8bef3cd-001
"Sat, 10 Dec",$470,"7 Wallen Road, Flat Bush, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/flat-bush/listing/3847986772?rsqid=160acf888e374a50a673a238f8bef3cd-001
"Fri, 2 Dec",$500,"1/33 Grassways Avenue, Pakuranga, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/pakuranga/listing/3847894871?rsqid=160acf888e374a50a673a238f8bef3cd-001
"Thu, 17 Nov",$550,"14 Kilcadden Drive, Flat Bush, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/flat-bush/listing/3837237641?rsqid=160acf888e374a50a673a238f8bef3cd-001
"Tue, 22 Nov",$520,"17 Castlebane Drive, Flat Bush, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/flat-bush/listing/3835550872?rsqid=160acf888e374a50a673a238f8bef3cd-001
Now,$530,"16 Black Shed Road, Flat Bush, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/flat-bush/listing/3856829714?rsqid=160acf888e374a50a673a238f8bef3cd-001
"Sat, 19 Nov",$550,"55A Mirrabooka Ave, Botany Downs, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/botany-downs/listing/3821473466?rsqid=160acf888e374a50a673a238f8bef3cd-001
Now,$450,"33 Gracechurch Drive, Flat Bush, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/flat-bush/listing/3815802333?rsqid=160acf888e374a50a673a238f8bef3cd-001
Now,$510,"GrannyFlat/273 Flat Bush School Road, Flat Bush, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/flat-bush/listing/3810834681?rsqid=160acf888e374a50a673a238f8bef3cd-001
Now,$500,"89 Tir Conaill Avenue, Flat Bush, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/flat-bush/listing/3810073977?rsqid=160acf888e374a50a673a238f8bef3cd-001
Now,$535,"2/43 Dale Crescent, Pakuranga, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/pakuranga/listing/3809660340?rsqid=160acf888e374a50a673a238f8bef3cd-001
Now,$490,"7 Minaret Drive, Bucklands Beach, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/bucklands-beach/listing/3801699823?rsqid=160acf888e374a50a673a238f8bef3cd-001
Now,$520,"6 Lisnoble Road, Flat Bush, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/flat-bush/listing/3788566437?rsqid=160acf888e374a50a673a238f8bef3cd-001
Now,$520,"5c Kerswill Place, Pakuranga, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/pakuranga/listing/3713373516?rsqid=160acf888e374a50a673a238f8bef3cd-001
"Sun, 4 Dec",$550,"2/9 Wells Road, Bucklands Beach, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/bucklands-beach/listing/3858660470?rsqid=160acf888e374a50a673a238f8bef3cd-001
"Mon, 28 Nov",$550,"110 Pakuranga Road, Pakuranga, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/pakuranga/listing/3853264533?rsqid=160acf888e374a50a673a238f8bef3cd-001
Now,$510,"2/65 Moore St, Howick, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/howick/listing/3852098429?rsqid=160acf888e374a50a673a238f8bef3cd-001
Now,$525,"2/13 Latham Avenue, Pakuranga, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/pakuranga/listing/3847695486?rsqid=160acf888e374a50a673a238f8bef3cd-001
"Tue, 29 Nov",$550,"43 Tiraumea Drive, Pakuranga, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/pakuranga/listing/3844483449?rsqid=160acf888e374a50a673a238f8bef3cd-001
"Sat, 26 Nov",$420,"86A Gosford Drive, Botany Downs, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/botany-downs/listing/3844114601?rsqid=160acf888e374a50a673a238f8bef3cd-001
Now,$500,"5/14 Innisfree Drive, Ellerslie, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/ellerslie/listing/3860045221?rsqid=8522717292e449958364c9cc214ccb37-001
"Sun, 11 Dec",$480,"1/26 Rogan Street, Mount Roskill, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/mount-roskill/listing/3858138342?rsqid=8522717292e449958364c9cc214ccb37-001
"Tue, 6 Dec",$540,"C412/176 Broadway, Newmarket, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/newmarket/listing/3856906898?rsqid=8522717292e449958364c9cc214ccb37-001
"Fri, 9 Dec",$480,"6/17A Esplanade Road, Mount Eden, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/mount-eden/listing/3856591819?rsqid=8522717292e449958364c9cc214ccb37-001
"Mon, 19 Dec",$550,"7/28 Coronation Road, Epsom, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/epsom/listing/3856531593?rsqid=8522717292e449958364c9cc214ccb37-001
"Sat, 10 Dec",$450,"4/1216 New North Road, Mount Albert, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/mount-albert/listing/3855152588?rsqid=8522717292e449958364c9cc214ccb37-001
Now,$510,"12/8 Shackleton Rd, Mount Eden, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/mount-eden/listing/3854842927?rsqid=8522717292e449958364c9cc214ccb37-001
"Thu, 1 Dec",$550,"2A/12 Morningstar Place, Mount Albert, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/mount-albert/listing/3854736115?rsqid=8522717292e449958364c9cc214ccb37-001
Now,$550,"18a Stokes Rd, Mount Eden, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/mount-eden/listing/3853732495?rsqid=8522717292e449958364c9cc214ccb37-001
Now,$540,"4/15 ANITA AVENUE, Mount Roskill, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/mount-roskill/listing/3852001555?rsqid=8522717292e449958364c9cc214ccb37-001
Now,$520,"2/20A Woodbine Avenue, Greenlane, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/greenlane/listing/3851894961?rsqid=8522717292e449958364c9cc214ccb37-001
Now,$490,"58 The Avenue, Lynfield, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/lynfield/listing/3846205008?rsqid=8522717292e449958364c9cc214ccb37-001
"Sun, 20 Nov",$530,"2/1 Hendon Ave, Mount Albert, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/mount-albert/listing/3846004055?rsqid=8522717292e449958364c9cc214ccb37-001
"Wed, 30 Nov",$540,"5/20 Campbell Road, Royal Oak, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/royal-oak/listing/3842596196?rsqid=8522717292e449958364c9cc214ccb37-001
"Sat, 26 Nov",$540,"4/9 Ranier Street, Ellerslie, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/ellerslie/listing/3826245025?rsqid=8522717292e449958364c9cc214ccb37-001
"Tue, 6 Dec",$450,"3/15 Stamford Park Road, Hillsborough, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/hillsborough/listing/3855758458?rsqid=8522717292e449958364c9cc214ccb37-001
"Sun, 20 Nov",$530,"B505/176 Broadway , Newmarket, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/newmarket/listing/3826281718?rsqid=8522717292e449958364c9cc214ccb37-001
"Tue, 15 Nov",$495,"6/30A Liverpool Street, Epsom, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/epsom/listing/3838590617?rsqid=8522717292e449958364c9cc214ccb37-001
Now,$350,"3/125 Carrington Road, Point Chevalier, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/point-chevalier/listing/3311353010?rsqid=8522717292e449958364c9cc214ccb37-001
Now,$530,"B408/176 Broadway, Newmarket, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/newmarket/listing/3838792982?rsqid=8522717292e449958364c9cc214ccb37-001
"Tue, 20 Dec",$550,"3/64 williamson ave, Grey Lynn, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/grey-lynn/listing/3852423111?rsqid=8522717292e449958364c9cc214ccb37-001
Now,$550,"1/466 Parnell Road, Parnell, Auckland City",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/parnell/listing/3847990300?rsqid=8522717292e449958364c9cc214ccb37-001
"Fri, 25 Nov",$550,"8 Powell Pl, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3841071079?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
"Sat, 26 Nov",$550,"46E Universal Drive, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3853432453?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
Now,$495,"20D Konini Road, Titirangi, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/titirangi/listing/3823385428?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
Now,$550,"13 Vitex Lane, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3837066159?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
Now,$545,"42A Farwood Dr, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3826535081?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
Now,$495,"49A Bruce McLaren Road, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3822357575?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
Now,$460,"7 Helga Crescent, Te Atatu Peninsula, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/te-atatu-peninsula/listing/3814689036?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
"Wed, 30 Nov",$380,"1/92 Bruce Mclaren Road, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3814211299?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
Now,$520,"3/51 Henderson Valley Road, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3784393448?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
Now,$470,"8A Wirihana Road, Titirangi, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/titirangi/listing/3778093507?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
Now,$550,"19 Yeovil Road, Te Atatu Peninsula, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/te-atatu-peninsula/listing/3720472775?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
"Mon, 5 Dec",$495,"5/215 Swanson road , Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3858602097?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
"Mon, 5 Dec",$450,"3/2 Konini Road, Titirangi, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/titirangi/listing/3853505118?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
"Fri, 18 Nov",$500,"2/62 Forest Hill Road, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3851731895?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
Now,$550,"385 Triangle Road, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3848977730?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
"Sat, 19 Nov",$540,"106/1 Sidney Wallingford Way, Hobsonville, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/hobsonville/listing/3842507069?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
Now,$500,"1/38 Harbour View Road, Te Atatu Peninsula, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/te-atatu-peninsula/listing/3841427735?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
"Sat, 26 Nov",$550,"1/38 Godley Road, Green Bay, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/green-bay/listing/3836825803?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
"Fri, 18 Nov",$550,"5A Neil Avenue, Te Atatu Peninsula, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/te-atatu-peninsula/listing/3835787353?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
"Sat, 19 Nov",$550,"312 Lincoln Road, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3835599509?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
"Sat, 3 Dec",$495,"136 Victory Road, Laingholm, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/laingholm/listing/3835581095?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
Now,$450,"306 Lincoln Road, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3837181717?rsqid=e09396e863c84b7ebef6a9d4328327d8-001
Now,$390,"557 Glenfield Road, Glenfield, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/glenfield/listing/3802664145?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
"Fri, 18 Nov",$490,"13C Victoria Road, Devonport, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/devonport/listing/3802066356?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
Now,$475,"75B Taurus Crescent , Beach Haven, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/beach-haven/listing/3777434655?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
Now,$550,"2 Munroe Lane , Albany, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/albany/listing/3749500861?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
Now,$500,"14a Vinewood rd, Albany, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/albany/listing/3819894880?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
Now,$550,"3A Lyttelton Avenue, Forrest Hill, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/forrest-hill/listing/3457023809?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
"Fri, 2 Dec",$475,"1/212 Forrest Hill, Forrest Hill, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/forrest-hill/listing/3859261962?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
Now,$450,"128 Greenhithe Rd, Greenhithe, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/greenhithe/listing/3858613139?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
"Sun, 27 Nov",$500," Glenvar road, Torbay, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/torbay/listing/3857461583?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
"Sun, 1 Jan",$550,"3 Tye Road, Hillcrest, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/hillcrest/listing/3856940693?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
Now,$550,"2/15 Dominion St, Takapuna, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/takapuna/listing/3856849928?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
"Mon, 28 Nov",$475," James Evans Drive, Northcote, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/northcote/listing/3854762869?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
"Fri, 25 Nov",$470," Hiwihau Place, Glenfield, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/glenfield/listing/3852636119?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
Now,$530,"134 East Coast Road, Forrest Hill, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/forrest-hill/listing/3852384311?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
Now,$500,"31 valley view road, Glenfield, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/glenfield/listing/3852096533?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
"Tue, 6 Dec",$530,"15 Monarch Avenue, Hillcrest, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/hillcrest/listing/3851711791?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
"Fri, 2 Dec",$495,"3/78 Seaview Road, Castor Bay, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/castor-bay/listing/3851099195?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
"Thu, 24 Nov",$540,"1/4 Velma Road, Hillcrest, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/hillcrest/listing/3847026182?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
Now,$515,"12b Evelyn Place, Hillcrest, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/hillcrest/listing/3844695775?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
Now,$530,"83A Balmain Road, Birkenhead, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/birkenhead/listing/3842897875?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
"Mon, 5 Dec",$550,"1/11 Jutland Street, Mairangi Bay, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/mairangi-bay/listing/3842795458?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
"Sat, 19 Nov",$550,"2/11 Dodson Avenue, Milford, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/milford/listing/3840020925?rsqid=2af5eb4f222a4cc7a5bb33ca4aeafab2-001
Now,$495,"1/39 Wilsher Crescent, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3815789306?rsqid=e300399190be480e934e5dd2a9cea103-001
Now,$500,"170 Lincoln Road, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3842272632?rsqid=e300399190be480e934e5dd2a9cea103-001
Now,$530,"102 Lincoln Road, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3809630334?rsqid=e300399190be480e934e5dd2a9cea103-001
Now,$550,"1 Mt Lebanon Lane, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3809374366?rsqid=e300399190be480e934e5dd2a9cea103-001
Now,$550,"45a Smythe Road, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3809197638?rsqid=e300399190be480e934e5dd2a9cea103-001
Now,$480,"7/5 Keeling Road, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3799373080?rsqid=e300399190be480e934e5dd2a9cea103-001
Now,$530,"22 Matipo Road, Te Atatu Peninsula, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/te-atatu-peninsula/listing/3858201694?rsqid=e300399190be480e934e5dd2a9cea103-001
"Sat, 3 Dec",$510,"58a Wirihana Road, Titirangi, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/titirangi/listing/3774090634?rsqid=e300399190be480e934e5dd2a9cea103-001
Now,$495,"32A Eyre Street, Henderson, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/3771440565?rsqid=e300399190be480e934e5dd2a9cea103-001
Now,$525,"5/19 Karamu Street, Te Atatu Peninsula, Waitakere City",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/te-atatu-peninsula/listing/3638823587?rsqid=e300399190be480e934e5dd2a9cea103-001
Now,$500,"16 Cloonlyon Drive, Flat Bush, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/flat-bush/listing/3841294226?rsqid=2e54423eac8b4b41b39812cc7c6ef8d0-001
Now,$530,"5 hing st, Flat Bush, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/flat-bush/listing/3838609221?rsqid=2e54423eac8b4b41b39812cc7c6ef8d0-001
Now,$530,"12 Tannaghmore Drive, Flat Bush, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/flat-bush/listing/3837538053?rsqid=2e54423eac8b4b41b39812cc7c6ef8d0-001
"Wed, 23 Nov",$530,"58A Westerham Drive, Dannemora, Manukau City",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/dannemora/listing/3836952915?rsqid=2e54423eac8b4b41b39812cc7c6ef8d0-001
